=== Three-Tier TLB BFS Only (scale=18) ===

Generating RMAT graph: scale=18, nodes=262144, target_edges=4194304
  After dedup: 7611804 directed edges (29.0 MB edge data)
  Avg degree: 29.0, Max degree: 25181
Graph: 262144 nodes, 7611804 edges (29.0 MB)
Pages: 7434
Source: 0 (degree 25181)

[Target T]...
  21.34 ms, 4 levels, 174003 reached

[3-Tier TLB, 100% cache]...
  Cache: 7434 slots (29.0 MB)
  Level 0 (frontier=1)...
  Level 1 (frontier=25181)...
TLB conflict: c=8500000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=8500000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=8500000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=8600000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=8600000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=8600000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=8700000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=8700000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=8700000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=8800000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=8800000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=8800000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=8900000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=8900000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=8900000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=9000000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=9000000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=9000000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=9100000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=9100000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=9100000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=9200000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=9200000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=9200000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=9300000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=9300000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=9300000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=9400000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=9400000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=9400000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=9500000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=9500000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=9500000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=9600000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=9600000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=9600000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=9700000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=9700000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=9700000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=9800000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=9800000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=9800000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=9900000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=9900000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=9900000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=10000000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=10000000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=10000000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=10100000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=10100000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=10100000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=10200000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=10200000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=10200000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=10300000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=10300000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=10300000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=10400000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=10400000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=10400000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=10500000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=10500000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=10500000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=10600000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=10600000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=10600000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=10700000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=10700000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=10700000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=10800000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=10800000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=10800000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=10900000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=10900000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=10900000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=11000000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=11000000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=11000000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=11100000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=11100000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=11100000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=11200000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=11200000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=11200000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=11300000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=11300000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=11300000 tid=192 wanted=349 got=93 st=0x1
